CLAVE BMV,NOMBRE,Name (or Code),RIC,PO mean,po median,CLOSED,YTD,Upside mean
AXTEL,"AXTEL, S.A.B. DE C.V.",Axtel SAB de CV,AXTELCPO.MX,4.675,4.75,2.36,-20.5386,98.09%
AZTECA,"TV AZTECA , S.A.B. DE C.V.",TV Azteca SAB de CV,AZTECACPO.MX,1.86667,2,2.15,-7.3275,-13.18%
BACHOCO,"INDUSTRIAS BACHOCO, S.A.B. DE C.V.",Industrias Bachoco SAB de CV,BACHCOB.MX,83.83333,84,73.08,13.2672,14.71%
BBAJIO,"BANCO DEL BAJÍO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",Banco del Bajio SA Institucion de Banca Multiple,BBAJIOO.MX,44.625,44.5,38.58,0.5473,15.67%
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",,BBVA.MX,6.01462,6,116.65,12.1635,-94.84%
BIMBO,"GRUPO BIMBO, S.A.B. DE C.V.",Grupo Bimbo SAB de CV,BIMBOA.MX,44.73529,44,40.61,3.7292,10.16%
BOLSA,"BOLSA MEXICANA DE VALORES, S.A.B. DE C.V.",Bolsa Mexicana de Valores SAB de CV,BOLSAA.MX,41.88889,41.5,39.76,18.722,5.35%
BSMX,"BANCO SANTANDER (MEXICO), S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER",Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,BSMXB.MX,29.50667,29.1,26.57,8.8934,11.05%
C,CITIGROUP INC.,,C.MX,77.52,76,1250.6,23.2118,-93.80%
CADU,CORPOVAEL S.A.B. DE C.V.,Cadu Inmobiliaria SA de CV,CADUA.MX,14.5,14.5,14.85,-0.9999,-2.36%
CEMEX,"CEMEX, S.A.B. DE C.V.",Cemex SAB de CV,CMXCPO.MX,13.34071,12.8,9.26,-2.4235,44.07%
CHDRAUI,"GRUPO COMERCIAL CHEDRAUI, S.A.B. DE C.V.",Grupo Comercial Chedraui SAB de CV,CHDRAUIB.MX,45.54546,46,38.58,-2.0811,18.05%
CREAL,"CREDITO REAL, S.A.B. DE C.V., SOFOM, E.R.",Credito Real SAB de CV Sofom ER,CREAL.MX,29.4,29,21.71,22.8636,35.42%
CUERVO,"BECLE, S.A.B. DE C.V.",Becle SAB de CV,CUERVO.MX,26.73333,27,30.51,16.1843,-12.38%
ELEKTRA,"GRUPO ELEKTRA, S.A.B. DE C.V.",Grupo Elektra SAB de CV,ELEKTRA.MX,1046,1046,1049.61,10.2613,-0.34%
ELEMENT,"ELEMENTIA, S.A.B. DE C.V.",Elementia SAB de CV,ELEMENT.MX,17.7125,15.5,10.42,-17.3015,69.99%
FEMSA,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V.",Fomento Economico Mexicano SAB de CV,FMSAUBD.MX,198.75,201.5,178.35,5.7014,11.44%
FRES,FRESNILLO PLC,,FRES.L,1065.72794,1099.91904,882,2.5581,20.83%
GAP,"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. DE C.V.",Grupo Aeroportuario del Pacifico SAB de CV,GAPB.MX,194.35263,193,177.95,11.3301,9.22%
GCARSO,"GRUPO CARSO, S.A.B. DE C.V.",Grupo Carso SAB de CV,GCARSOA1.MX,71,71,73.79,4.8005,-3.78%
GCC,"GRUPO CEMENTOS DE CHIHUAHUA, S.A.B. DE C.V.",Grupo Cementos de Chihuahua SAB de CV,GCC.MX,140.61111,142,106.15,5.685,32.46%
GENTERA,"GENTERA, S.A.B. DE C.V.",Gentera SAB de CV,GENTERA.MX,19.69333,20,16.21,11.9475,21.49%
GFAMSA,"GRUPO FAMSA, S.A.B. DE C.V.",Grupo Famsa SAB de CV,GFAMSAA.MX,11.6,11.6,6.4,-31.1827,81.25%
GFINBUR,"GRUPO FINANCIERO INBURSA, S.A.B. DE C.V.",Grupo Financiero Inbursa SAB de CV,GFINBURO.MX,28.44444,28,27.12,-4.1356,4.88%
GFNORTE,"GRUPO FINANCIERO BANORTE, S.A.B DE C.V.",Grupo Financiero Banorte SAB de CV,GFNORTEO.MX,131.18235,125,108.95,13.8025,20.41%
GICSA,"GRUPO GICSA, S.A.B. DE C.V.",Grupo Gicsa SAB de CV,GICSAB.MX,10.7,10.5,6.27,-1.415,70.65%
GMEXICO,"GRUPO MEXICO, S.A.B. DE C.V.",Grupo Mexico SAB de CV,GMEXICOB.MX,100.89318,54.5708,52.77,30.4896,91.19%
GMXT,"GMÉXICO TRANSPORTES, S.A.B. DE C.V.",GMexico Transportes SA de CV,GMXT.MX,31.68889,31.7,25.83,0.7803,22.68%
GRUMA,"GRUMA, S.A.B. DE C.V.",Gruma SAB de CV,GRUMAB.MX,257.44706,254,198.07,-11.0596,29.98%
GSANBOR,"GRUPO SANBORNS, S.A.B. DE C.V.",Grupo Sanborns SAB de CV,GSNBRB1.MX,22,20,18.9,6.7797,16.40%
HCITY,"HOTELES CITY EXPRESS, S.A.B. DE C.V.",Hoteles City Express SAB de CV,HCITY.MX,26.9,26.3,20.91,-12.9837,28.65%
HERDEZ,"GRUPO HERDEZ, S.A.B. DE C.V.",Grupo Herdez SAB de CV,HERDEZ.MX,47.2,48,43.47,6.0244,8.58%
HOTEL,"GRUPO HOTELERO SANTA FE, S.A.B. DE C.V.",Grupo Hotelero Santa Fe SAB de CV,HOTEL.MX,10.3,10,7.33,-11.5801,40.52%
ICH,"INDUSTRIAS CH, S.A.B. DE C.V.",Industrias CH SAB de CV,ICHB.MX,83.03333,81.5,86.46,1.7296,-3.96%
IENOVA,"INFRAESTRUCTURA ENERGETICA NOVA, S.A.B. DE C.V.",Infraestructura Energetica Nova SAB de CV,IENOVA.MX,95.4473,94.5,76.75,4.7496,24.36%
KIMBER,KIMBERLY - CLARK DE MEXICO S.A.B. DE C.V.,Kimberly-Clark de Mexico SAB de CV,KIMBERA.MX,34.66667,34,32.08,4.1371,8.06%
KOF,"COCA-COLA FEMSA, S.A.B. DE C.V.",Coca-Cola Femsa SAB de CV,KOFL.MX,132.49412,134,126.94,6.538,4.38%
LAB,"GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V.",Genomma Lab Internacional SAB de CV,LABB.MX,18.34,16.95,14.52,24.4216,26.31%
LACOMER,LA COMER S.A.B. DE C.V.,La Comer SAB de CV,LCMRUBC.MX,24.14286,24,20.95,2.8473,15.24%
LALA,"GRUPO LALA, S.A.B. DE C.V.",Grupo Lala SAB de CV,LALAB.MX,23.31429,23.8,25.12,19.1086,-7.19%
LIVEPOL,"EL PUERTO DE LIVERPOOL, S.A.B. DE C.V.",El Puerto de Liverpool SAB de CV,LIVEPOLC1.MX,151.575,150.5,120.6,-4.4146,25.68%
