CLAVE BMV,NOMBRE,Name (or Code),RIC,PO mean,po median,CLOSED,YTD,Upside mean
NEMAK,"NEMAK, S.A.B. DE C.V.",Nemak SAB de CV,NEMAKA.MX,15.6583,15.5,10.85,-25.9385,0.443
OMA,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V.",Grupo Aeroportuario del Centro Norte SAB de CV,OMAB.MX,124.0253,122,109.78,17.2237,0.13
PAPPEL,"BIO PAPPEL, S.A.B. DE C.V.",Bio Pappel SAB de CV,PAPPEL.MX,30.6,30.6,26.55,29.7654,0.153
PE&OLES,"INDUSTRIAS PEÑOLES, S. A.B. DE C. V.",Industrias Penoles SAB de CV,PENOLES.MX,299.21,285.5,229.36,-4.4093,0.305
PINFRA,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V.",Promotora y Operadora de Infraestructura SAB de CV,PINFRA.MX,223.8438,225.5,193.16,2.6737,0.159
Q,"QUÁLITAS CONTROLADORA, S.A.B. DE C.V.",Qualitas Controladora SAB de CV,Q.MX,53,53,48.45,17.1139,0.094
R,"REGIONAL, S.A.B. DE C.V.",Regional SAB de CV,RA.MX,113.7727,112,98.65,9.0176,0.153
RASSINI,"RASSINI, S.A.B. DE C.V.",Rassini SAB de CV,RASSNICPO.MX,83.3,87.6,66,-21.9673,0.262
SIMEC,"GRUPO SIMEC, S.A.B. DE C.V.",Grupo Simec SAB de CV,SIMECB.MX,67.4667,66.4,56.03,-8.4177,0.204
SITES,"TELESITES, S.A.B. DE C.V.",Telesites SAB de CV,SITESB1.MX,15.2833,16.9,12.95,10.3066,0.18
SORIANA,"ORGANIZACION SORIANA, S.A.B. DE C.V.",Organizacion Soriana SAB de CV,SORIANAB.MX,28.1,26,22.71,-18.1621,0.237
SPORT,"GRUPO SPORTS WORLD, S.A.B. DE C.V.",Grupo Sports World SAB de CV,SPORTS.MX,24,24,19.75,-4.3583,0.215
TLEVISA,"GRUPO TELEVISA, S.A.B.",Grupo Televisa SAB,TLVACPO.MX,65.2769,63,42.02,-14.8357,0.553
TRAXION,GRUPO TRAXIÓN S.A.B DE C.V.,Grupo Traxion SAB de CV,TRXIONA.MX,18.66,19.5,13.45,11.99,0.387
TS,TENARIS S.A.,,TENR.MI,14.7006,14.0578,12.685,34.375,0.159
UNIFIN,"UNIFIN FINANCIERA, S.A.B. DE C.V., SOFOM, E.N.R.",Unifin Financiera SAB de CV SOFOM ENR,UNIFINA.MX,49.6667,46,40.78,-2.974,0.218
VESTA,"CORPORACIÓN INMOBILIARIA VESTA, S.A.B. DE C.V.",Corporacion Inmobiliaria Vesta SAB de CV,VESTA.MX,32.6692,33,28.3,5.4789,0.154
VINTE,"VINTE VIVIENDAS INTEGRALES, S.A.B. DE C.V.",Vinte Viviendas Integrales SAB de CV,VINTE.MX,32.5,32.5,28.4,-2.0689,0.144
VISTA,"VISTA OIL & GAS, S.A.B. DE C.V.",Vista Oil & Gas SAB de CV,VISTAA.MX,273.5333,270.6,177,18.3551,0.545
VOLAR,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V.",Controladora Vuela Compania de Aviacion SAB de CV,VOLARA.MX,20.7,19.9,17.22,64.313,0.202
WALMEX,"WAL - MART DE MEXICO, S.A.B. DE C.V.",Wal Mart de Mexico SAB de CV,WALMEX.MX,55.425,56.5,51.86,3.7823,0.069
